English,Icon,Spatial
,resting.png,
,right.png,
beak,beak.png,RightCong
,resting.png,
,middle.png,
foot,foot.png,RightIrre
,resting.png,
,middle.png,
purse,purse.png,LeftIrre
,resting.png,
,xsp.png,
safetypin,safetypin.png,LeftNoG
,resting.png,
,xsp.png,
scale,scale.png,LeftInco
,resting.png,
,xsp.png,
doll,doll.png,RightInco
,resting.png,
,xsp.png,
net,net.png,RightNoG
,resting.png,
,left.png,
leaf,leaf.png,LeftCong
,resting.png,
,right.png,
knight,knight.png,LeftInco
,resting.png,
,middle.png,
snake,snake.png,RightIrre
,resting.png,
,middle.png,
park,park.png,LeftIrre
,resting.png,
,left.png,
balloon,balloon.png,RightInco
