Question,blank,English,CorResp
"Where did you see this word, left or right?",  ,leaf,L
"Where did you see this word, left or right?",  ,balloon,R
"Where did you see this word, left or right?",  ,scale,L
"Where did you see this word, left or right?",  ,purse,L
"Where did you see this word, left or right?",  ,snake,R
"Where did you see this word, left or right?",  ,knight,L
"Where did you see this word, left or right?",  ,safety pin,L
"Where did you see this word, left or right?",  ,beak,R
"Where did you see this word, left or right?",  ,park,L
"Where did you see this word, left or right?",  ,doll,R
"Where did you see this word, left or right?",  ,foot,R
"Where did you see this word, left or right?",  ,net,R
